title,address,access,age,floor,fee,management_fee,deposit,gratuity,madori,menseki
グランレブリー桂川サウススクエア,京都府向日市寺戸町修理式,"
阪急京都線/東向日駅 歩11分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/洛西口駅 歩11分
","
新築
6階建
","
											5階",6.8万円,6000円,-,13.6万円,1K,33.26m2
グランレブリー桂川サウススクエア,京都府向日市寺戸町修理式,"
阪急京都線/東向日駅 歩11分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/洛西口駅 歩11分
","
新築
6階建
","
											5階",6.8万円,6000円,-,13.6万円,1K,33.26m2
グランレブリー桂川サウススクエア,京都府向日市寺戸町修理式,"
阪急京都線/東向日駅 歩11分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/洛西口駅 歩11分
","
新築
6階建
","
											5階",6.8万円,6000円,-,13.6万円,1K,33.26m2
グランレブリー桂川サウススクエア,京都府向日市寺戸町修理式,"
阪急京都線/東向日駅 歩11分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/洛西口駅 歩11分
","
新築
6階建
","
											5階",6.8万円,6000円,-,13.6万円,1K,33.26m2
グランレブリー桂川サウススクエア,京都府向日市寺戸町修理式,"
阪急京都線/東向日駅 歩11分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/洛西口駅 歩11分
","
新築
6階建
","
											6階",6.8万円,6000円,-,13.6万円,1K,33.26m2
グランレブリー桂川サウススクエア,京都府向日市寺戸町修理式,"
阪急京都線/東向日駅 歩11分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/洛西口駅 歩11分
","
新築
6階建
","
											5階",6.8万円,6000円,-,13.6万円,1K,33.26m2
グランレブリー桂川サウススクエア,京都府向日市寺戸町修理式,"
阪急京都線/東向日駅 歩11分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/洛西口駅 歩11分
","
新築
6階建
","
											6階",6.8万円,6000円,-,13.6万円,1K,33.26m2
グランレブリー桂川サウススクエア,京都府向日市寺戸町修理式,"
阪急京都線/東向日駅 歩11分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/洛西口駅 歩11分
","
新築
6階建
","
											5階",6.8万円,6000円,-,13.6万円,1K,32.1m2
向日市寺戸町三ノ坪貸家,京都府向日市寺戸町三ノ坪,"
阪急京都線/洛西口駅 歩9分
ＪＲ東海道本線/向日町駅 歩13分
ＪＲ東海道本線/桂川駅 歩15分
","
築54年
2階建
","
											1-2階",7.5万円,-,-,-,4DK,68.75m2
モアライフ酒井松,京都府長岡京市井ノ内下印田,"
阪急京都線/長岡天神駅 歩25分
阪急京都線/西向日駅 歩18分
ＪＲ東海道本線/長岡京駅 歩40分
","
築35年
4階建
","
											4階",8万円,5000円,8万円,-,2LDK,53m2
モアライフ酒井松,京都府長岡京市井ノ内下印田,"
阪急京都線/長岡天神駅 歩25分
阪急京都線/西向日駅 歩18分
ＪＲ東海道本線/長岡京駅 歩40分
","
築35年
4階建
","
											4階",8.2万円,5000円,8.2万円,-,2LDK,59.4m2
Ｇｒａｎｄ　Ｐｒａｉｓｅ　Ａ棟,京都府乙訓郡大山崎町字円明寺小字横林,"
阪急京都線/西山天王山駅 歩7分
ＪＲ東海道本線/長岡京駅 歩32分
阪急京都線/長岡天神駅 歩27分
","
築4年
3階建
","
											1階",8.7万円,5000円,5万円,20万円,2LDK,55.4m2
レジデンス向陽,京都府向日市上植野町馬立,"
阪急京都線/西向日駅 歩5分
ＪＲ東海道本線/長岡京駅 歩26分
阪急京都線/長岡天神駅 歩28分
","
築36年
地下1地上3階建
","
											3階",6.5万円,3000円,-,-,3DK,58.57m2
レジデンス向陽,京都府向日市上植野町馬立,"
阪急京都線/西向日駅 歩5分
ＪＲ東海道本線/長岡京駅 歩26分
阪急京都線/長岡天神駅 歩28分
","
築36年
地下1地上3階建
","
											3階",6.5万円,3000円,-,6.5万円,3DK,53m2
ハイツＫＯＵＮＡＮ,京都府向日市上植野町御塔道,"
阪急京都線/西向日駅 歩3分
阪急京都線/長岡天神駅 歩30分
ＪＲ東海道本線/長岡京駅 歩30分
","
築28年
2階建
","
											1階",4.8万円,-,3万円,3万円,1K,21m2
ハイツＫＯＵＮＡＮ,京都府向日市上植野町御塔道,"
阪急京都線/西向日駅 歩3分
阪急京都線/長岡天神駅 歩30分
ＪＲ東海道本線/長岡京駅 歩30分
","
築28年
2階建
","
											1階",4.8万円,-,3万円,3万円,1K,21m2
ドルチェ21,京都府向日市寺戸町西野辺,"
阪急京都線/東向日駅 歩8分
ＪＲ東海道本線/向日町駅 歩14分
阪急京都線/西向日駅 歩13分
","
築32年
地下1地上3階建
","
											3階",4.7万円,3000円,-,4.7万円,1K,23.8m2
ローズコート,京都府乙訓郡大山崎町字円明寺,"
阪急京都線/西山天王山駅 歩10分
ＪＲ東海道本線/長岡京駅 歩33分
阪急京都線/長岡天神駅 歩32分
","
築7年
3階建
","
											3階",9.4万円,5000円,5万円,18万円,2LDK,57.67m2
第2吉万ハイツ,京都府向日市寺戸町笹屋,"
ＪＲ東海道本線/桂川駅 歩21分
ＪＲ東海道本線/向日町駅 歩10分
阪急京都線/洛西口駅 歩16分
","
築38年
2階建
","
											1階",5.3万円,5000円,-,-,2DK,36.45m2
Ｇｒａｎｄ　Ｐｒａｉｓｅ　Ａ棟,京都府乙訓郡大山崎町字円明寺小字横林,"
阪急京都線/西山天王山駅 歩7分
ＪＲ東海道本線/長岡京駅 歩32分
阪急京都線/長岡天神駅 歩27分
","
築4年
3階建
","
											1階",8.7万円,5000円,5万円,20万円,2LDK,55.4m2
中村垣内13-3連棟,京都府向日市寺戸町中村垣内,"
阪急京都線/東向日駅 歩12分
ＪＲ東海道本線/向日町駅 歩16分
阪急京都線/洛西口駅 歩18分
","
築36年
2階建
","
											1-2階",7万円,-,-,7万円,4DK,70.05m2
八ノ坪荘,京都府向日市寺戸町八ノ坪,"
阪急京都線/洛西口駅 歩10分
ＪＲ東海道本線/桂川駅 歩11分
阪急京都線/東向日駅 歩14分
","
築50年
2階建
","
											1階",4.2万円,3000円,4.2万円,4.2万円,2K,32.4m2
ヴィラアバンセ,京都府向日市物集女町出口,"
阪急京都線/東向日駅 歩15分
ＪＲ東海道本線/向日町駅 歩20分
阪急京都線/洛西口駅 歩15分
","
築26年
3階建
","
											3階",7万円,5000円,-,-,2LDK,50.27m2
ヴィラアバンセ,京都府向日市物集女町出口,"
阪急京都線/東向日駅 歩15分
ＪＲ東海道本線/向日町駅 歩20分
阪急京都線/洛西口駅 歩15分
","
築26年
3階建
","
											2階",7万円,5000円,-,-,2LDK,50.27m2
サンコーポ安井,京都府向日市物集女町燈篭前,"
阪急京都線/東向日駅 歩12分
ＪＲ東海道本線/向日町駅 歩15分
阪急京都線/洛西口駅 歩13分
","
築43年
4階建
","
											2階",6万円,6000円,5万円,12万円,3DK,57m2
サンコーポ安井,京都府向日市物集女町燈篭前,"
阪急京都線/東向日駅 歩12分
ＪＲ東海道本線/向日町駅 歩15分
阪急京都線/洛西口駅 歩13分
","
築43年
4階建
","
											4階",6万円,6000円,5万円,12万円,3DK,57m2
サンコーポ安井,京都府向日市物集女町燈篭前,"
阪急京都線/東向日駅 歩12分
ＪＲ東海道本線/向日町駅 歩15分
阪急京都線/洛西口駅 歩13分
","
築43年
4階建
","
											4階",6万円,6000円,5万円,12万円,3DK,56m2
サンコーポ安井,京都府向日市物集女町燈篭前,"
阪急京都線/東向日駅 歩12分
ＪＲ東海道本線/向日町駅 歩15分
阪急京都線/洛西口駅 歩13分
","
築43年
4階建
","
											2階",6万円,6000円,5万円,12万円,3DK,56m2
サンコーポ安井,京都府向日市物集女町燈篭前,"
阪急京都線/東向日駅 歩12分
ＪＲ東海道本線/向日町駅 歩15分
阪急京都線/洛西口駅 歩13分
","
築43年
4階建
","
											4階",6万円,6000円,5万円,12万円,3LDK,53.5m2
サンコーポ安井,京都府向日市物集女町燈篭前,"
阪急京都線/東向日駅 歩12分
ＪＲ東海道本線/向日町駅 歩15分
阪急京都線/洛西口駅 歩13分
","
築43年
4階建
","
											2階",6万円,6000円,5万円,12万円,3LDK,53.5m2
サンコーポ安井,京都府向日市物集女町,"
阪急京都線/東向日駅 歩10分
阪急京都線/洛西口駅 歩12分
ＪＲ東海道本線/向日町駅 歩16分
","
築43年
4階建
","
											4階",6万円,6000円,5万円,12万円,3LDK,53.5m2
サンコーポ安井,京都府向日市物集女町,"
阪急京都線/東向日駅 歩10分
阪急京都線/洛西口駅 歩12分
ＪＲ東海道本線/向日町駅 歩16分
","
築43年
4階建
","
											2階",6万円,6000円,5万円,12万円,3LDK,53.5m2
ローズコート,京都府乙訓郡大山崎町字円明寺,"
阪急京都線/西山天王山駅 歩10分
ＪＲ東海道本線/長岡京駅 歩33分
阪急京都線/長岡天神駅 歩32分
","
築7年
3階建
","
											3階",9.4万円,5000円,5万円,18万円,2LDK,57.67m2
阪急京都線 東向日駅 2階建 築56年,京都府向日市森本町下森本,"
阪急京都線/東向日駅 歩10分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/西向日駅 歩15分
","
築56年
2階建
","
											2階",5万円,5000円,-,-,2K,27.53m2
阪急京都線 東向日駅 2階建 築56年,京都府向日市森本町下森本,"
阪急京都線/東向日駅 歩10分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/西向日駅 歩15分
","
築56年
2階建
","
											-",5.1万円,5000円,-,-,2K,27.53m2
阪急京都線 東向日駅 2階建 築56年,京都府向日市森本町下森本,"
阪急京都線/東向日駅 歩10分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/西向日駅 歩15分
","
築56年
2階建
","
											-",5.2万円,5000円,-,-,2K,27.53m2
ディアパレス向日,京都府向日市物集女町南条,"
阪急京都線/東向日駅 歩12分
ＪＲ東海道本線/向日町駅 歩17分
阪急京都線/洛西口駅 歩15分
","
築30年
2階建
","
											1階",6.7万円,3000円,-,-,2LDK,50m2
Ｒｏｓｅ　Ｃｏｕｒｔ　II,京都府乙訓郡大山崎町字円明寺小字西法寺,"
阪急京都線/西山天王山駅 歩11分
阪急京都線/長岡天神駅 歩32分
ＪＲ東海道本線/長岡京駅 歩33分
","
築7年
3階建
","
											3階",9.4万円,5000円,5万円,18万円,2LDK,57.67m2
寺戸町三ノ坪6-24貸家,京都府向日市寺戸町三ノ坪,"
阪急京都線/東向日駅 歩12分
阪急京都線/洛西口駅 歩9分
ＪＲ東海道本線/向日町駅 歩13分
","
築37年
2階建
","
											1-2階",7.5万円,-,-,-,4DK,68.75m2
レヴェンテ東向日,京都府向日市寺戸町梅ノ木,"
阪急京都線/東向日駅 歩5分
ＪＲ東海道本線/向日町駅 歩10分
阪急京都線/西向日駅 歩16分
","
築26年
4階建
","
											1階",7.8万円,7000円,-,-,2LDK,55.9m2
レヴェンテ東向日,京都府向日市寺戸町梅ノ木,"
阪急京都線/東向日駅 歩5分
ＪＲ東海道本線/向日町駅 歩10分
阪急京都線/西向日駅 歩16分
","
築26年
4階建
","
											4階",8万円,7000円,-,-,2LDK,55.9m2
レヴェンテ東向日,京都府向日市寺戸町梅ノ木,"
阪急京都線/東向日駅 歩5分
ＪＲ東海道本線/向日町駅 歩10分
阪急京都線/西向日駅 歩16分
","
築26年
4階建
","
											3階",8.2万円,7000円,-,-,3LDK,62.1m2
アロースウィステリア,京都府向日市鶏冠井町山畑,"
阪急京都線/西向日駅 歩3分
ＪＲ東海道本線/向日町駅 歩20分
ＪＲ東海道本線/長岡京駅 歩25分
","
築30年
3階建
","
											3階",6.8万円,5000円,-,6.8万円,2DK,50.16m2
エスペランス,京都府向日市寺戸町岸ノ下,"
阪急京都線/東向日駅 歩7分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/洛西口駅 歩26分
","
築28年
4階建
","
											3階",8万円,5000円,-,-,3LDK,70m2
エスペランス,京都府向日市寺戸町岸ノ下,"
阪急京都線/東向日駅 歩7分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/洛西口駅 歩26分
","
築28年
4階建
","
											3階",8.5万円,5000円,-,-,3LDK,70m2
ＦＯＲＵＭ東向日,京都府向日市寺戸町西田中瀬,"
阪急京都線/東向日駅 歩1分
ＪＲ東海道本線/向日町駅 歩4分
ＪＲ東海道本線/桂川駅 歩15分
","
築35年
3階建
","
											2階",6.1万円,4000円,-,-,2LDK,51m2
ＦＯＲＵＭ東向日,京都府向日市寺戸町西田中瀬,"
阪急京都線/東向日駅 歩1分
ＪＲ東海道本線/向日町駅 歩4分
ＪＲ東海道本線/桂川駅 歩15分
","
築35年
3階建
","
											3階",6.2万円,4000円,-,-,2LDK,47.7m2
ＦＯＲＵＭ東向日,京都府向日市寺戸町西田中瀬,"
阪急京都線/東向日駅 歩1分
ＪＲ東海道本線/向日町駅 歩4分
ＪＲ東海道本線/桂川駅 歩15分
","
築35年
3階建
","
											3階",6.2万円,4000円,-,-,2DK,47.7m2
ＦＯＲＵＭ東向日,京都府向日市寺戸町西田中瀬,"
阪急京都線/東向日駅 歩1分
ＪＲ東海道本線/向日町駅 歩4分
ＪＲ東海道本線/桂川駅 歩15分
","
築35年
3階建
","
											3階",6.2万円,4000円,-,-,2LDK,47.7m2
ベルエトワール,京都府向日市寺戸町天狗塚,"
阪急京都線/東向日駅 歩14分
阪急京都線/西向日駅 歩18分
ＪＲ東海道本線/向日町駅 歩20分
","
築30年
5階建
","
											4階",6.2万円,3000円,-,-,2DK,50m2
ベルエトワール,京都府向日市寺戸町天狗塚,"
阪急京都線/東向日駅 歩14分
阪急京都線/西向日駅 歩18分
ＪＲ東海道本線/向日町駅 歩20分
","
築30年
5階建
","
											2階",6.2万円,3000円,-,-,2DK,50m2
ＪＲ東海道本線 長岡京駅 4階建 築25年,京都府京都市伏見区羽束師菱川町,"
ＪＲ東海道本線/長岡京駅 歩33分
阪急京都線/長岡天神駅 歩45分
阪急京都線/西向日駅 歩28分
","
築25年
4階建
","
											3階",7万円,5000円,7万円,7万円,3DK,67.18m2
ＪＲ東海道本線 長岡京駅 4階建 築25年,京都府京都市伏見区羽束師菱川町,"
ＪＲ東海道本線/長岡京駅 歩33分
阪急京都線/長岡天神駅 歩45分
阪急京都線/西向日駅 歩28分
","
築25年
4階建
","
											4階",7万円,5000円,7万円,7万円,3LDK,67.18m2
ＪＲ東海道本線 長岡京駅 4階建 築25年,京都府京都市伏見区羽束師菱川町,"
ＪＲ東海道本線/長岡京駅 歩33分
阪急京都線/長岡天神駅 歩45分
阪急京都線/西向日駅 歩28分
","
築25年
4階建
","
											3階",7.5万円,6000円,7.5万円,7.5万円,3DK,67.18m2
北野マンション,京都府向日市寺戸町北野,"
阪急京都線/東向日駅 歩13分
ＪＲ東海道本線/向日町駅 歩18分
ＪＲ東海道本線/桂川駅 歩27分
","
築28年
4階建
","
											4階",7万円,5000円,-,-,2LDK,52.65m2
北野マンション,京都府向日市寺戸町北野,"
阪急京都線/東向日駅 歩13分
ＪＲ東海道本線/向日町駅 歩18分
ＪＲ東海道本線/桂川駅 歩27分
","
築28年
4階建
","
											2階",7万円,5000円,-,-,2LDK,52.65m2
北野マンション,京都府向日市寺戸町北野,"
阪急京都線/東向日駅 歩13分
ＪＲ東海道本線/向日町駅 歩18分
ＪＲ東海道本線/桂川駅 歩27分
","
築28年
4階建
","
											2階",7.9万円,5000円,-,-,2LDK,55.05m2
北野マンション,京都府向日市寺戸町北野,"
阪急京都線/東向日駅 歩13分
ＪＲ東海道本線/向日町駅 歩18分
ＪＲ東海道本線/桂川駅 歩27分
","
築28年
4階建
","
											4階",7.9万円,5000円,-,-,2LDK,55.05m2
プリヴュイクシマ,京都府向日市寺戸町大牧,"
阪急京都線/東向日駅 歩13分
阪急京都線/西向日駅 歩15分
阪急京都線/洛西口駅 歩20分
","
築38年
2階建
","
											2階",6.2万円,-,10万円,6.2万円,2LDK,45.3m2
プリヴュイクシマ,京都府向日市寺戸町大牧,"
阪急京都線/東向日駅 歩13分
阪急京都線/西向日駅 歩15分
阪急京都線/洛西口駅 歩20分
","
築38年
2階建
","
											2階",6.3万円,-,10万円,10万円,2LDK,45.35m2
ラフェニーチェ,京都府向日市寺戸町東野辺,"
阪急京都線/東向日駅 歩5分
ＪＲ東海道本線/向日町駅 歩12分
阪急京都線/洛西口駅 歩26分
","
築30年
3階建
","
											3階",7.3万円,4000円,-,-,3DK,56.01m2
ハイツ純豊,京都府向日市寺戸町小佃,"
阪急京都線/東向日駅 歩3分
ＪＲ東海道本線/向日町駅 歩7分
阪急京都線/洛西口駅 歩17分
","
築17年
3階建
","
											2階",7万円,4000円,-,14万円,1LDK,38.39m2
阪急京都線 東向日駅 2階建 築36年,京都府向日市寺戸町新田,"
阪急京都線/東向日駅 歩8分
ＪＲ東海道本線/向日町駅 歩10分
阪急京都線/洛西口駅 歩15分
","
築36年
2階建
","
											1階",6.2万円,-,-,6.2万円,3K,51.43m2
阪急京都線 東向日駅 4階建 築46年,京都府向日市寺戸町北前田,"
阪急京都線/東向日駅 歩12分
阪急京都線/洛西口駅 歩16分
ＪＲ東海道本線/向日町駅 歩15分
","
築46年
4階建
","
											3階",6.2万円,3000円,-,-,3DK,46.98m2
ビラキヨシ,京都府向日市寺戸町北前田,"
阪急京都線/東向日駅 歩10分
阪急京都線/洛西口駅 歩14分
ＪＲ東海道本線/向日町駅 歩14分
","
築46年
3階建
","
											3階",6.2万円,3000円,-,-,3DK,49.87m2
阪急京都線 東向日駅 4階建 築33年,京都府向日市寺戸町殿長,"
阪急京都線/東向日駅 歩5分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/西向日駅 歩18分
","
築33年
4階建
","
											3階",3.4万円,6000円,-,-,ワンルーム,17.66m2
阪急京都線 東向日駅 4階建 築33年,京都府向日市寺戸町殿長,"
阪急京都線/東向日駅 歩5分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/西向日駅 歩18分
","
築33年
4階建
","
											4階",3.4万円,6000円,-,-,1K,17.66m2
阪急京都線 東向日駅 4階建 築33年,京都府向日市寺戸町殿長,"
阪急京都線/東向日駅 歩5分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/西向日駅 歩18分
","
築33年
4階建
","
											2階",3.4万円,6000円,-,-,ワンルーム,16.5m2
阪急京都線 東向日駅 4階建 築33年,京都府向日市寺戸町殿長,"
阪急京都線/東向日駅 歩5分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/西向日駅 歩18分
","
築33年
4階建
","
											2階",3.6万円,6000円,-,-,ワンルーム,16.5m2
阪急京都線 東向日駅 4階建 築33年,京都府向日市寺戸町殿長,"
阪急京都線/東向日駅 歩5分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/西向日駅 歩18分
","
築33年
4階建
","
											4階",3.6万円,6000円,-,-,1K,16.5m2
阪急京都線 東向日駅 4階建 築33年,京都府向日市寺戸町殿長,"
阪急京都線/東向日駅 歩5分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/西向日駅 歩18分
","
築33年
4階建
","
											2階",3.7万円,6000円,-,-,1K,17.68m2
阪急京都線 東向日駅 3階建 築10年,京都府向日市寺戸町二枚田,"
阪急京都線/東向日駅 歩3分
ＪＲ東海道本線/向日町駅 歩10分
阪急京都線/洛西口駅 歩20分
","
築10年
3階建
","
											2階",7.6万円,7000円,3万円,15万円,1LDK,39.76m2
ハウスリーベンリート,京都府向日市寺戸町東野辺,"
阪急京都線/東向日駅 歩7分
ＪＲ東海道本線/向日町駅 歩12分
阪急京都線/西向日駅 歩14分
","
築37年
3階建
","
											2階",7.3万円,4000円,-,5万円,2LDK,55m2
２＋ａｐａｒｔｍｅｎｔ,京都府向日市寺戸町寺田,"
ＪＲ東海道本線/向日町駅 歩9分
阪急京都線/洛西口駅 歩13分
ＪＲ東海道本線/桂川駅 歩13分
","
築57年
4階建
","
											4階",9.5万円,5000円,-,20万円,2LDK,58m2
ユングフラウマイ,京都府向日市寺戸町辰巳,"
阪急京都線/東向日駅 歩5分
ＪＲ東海道本線/向日町駅 歩10分
阪急京都線/洛西口駅 歩25分
","
築32年
4階建
","
											4階",6.5万円,-,-,10万円,1LDK,38m2
